城邦名,UA描述,征服胜利,文化胜利,科技胜利,外交胜利,总分数
波哥大,盟友：盟友开发了黄金、白银、珍珠、宝石、琥珀、玉石其一的城市+35%文化；每拥有一座此类城市，所有城市的旅游产出+5%；拥有黄金国的城市旅游额外+100%。朋友：朋友开发了黄金、白银、珍珠、宝石、琥珀、玉石其一的城市+15%文化；拥有黄金国的城市旅游额外+40%,0,15,3,2,20
布拉迪斯拉发,盟友：盟友的首都以及第二首都+50%文化，盟友最靠近布拉迪斯拉发的城市腐败降低一级；盟友每诞生过一位伟人，全国科研和产能+1%（黄金时代内此总额加成将翻倍）。朋友：朋友的首都以及第二首都+20%文化，朋友最靠近布拉迪斯拉发的城市腐败点数降低200,0,8,10,2,20
布鲁塞尔,盟友：盟友的艺术、文学、音乐家点数积累速率+40%；盟友每拥有一个杰作，首都获得1点大音乐家点数；盟友的大音乐家举办演唱会产出魅力+20%且可以获得相当于其产出魅力5%的金钱。朋友：朋友的艺术、文学、音乐家点数积累速率+15%,0,18,0,2,20
布加勒斯特,盟友：盟友每拥有一个世界奇观，全国魅力和文化产出+5%；盟友每接收或者离开一个国际移民，国际移民接收速率+5%（上限+100%），国际移民离开速率-5%（上限-90%）；当其他国家完成文化类世界奇观时，盟友+5%全国产能和科研。朋友：朋友每拥有一个世界奇观，全国魅力和文化产出+2%,0,15,3,2,20
布宜诺斯艾利斯,盟友：盟友的城市+1大音乐家点数，盟友城市的每个城市规模假建筑各提供1大音乐家点数；盟友的大音乐家在产出音乐杰作后不会立刻死亡，而是丧失杰作产出能力并保留50%的演唱会魅力；盟友每个音乐杰作提高全国5%魅力。朋友：朋友城市规模达到小型城市时+1大音乐家点数，达到中型城市时额外+1大音乐家点数,0,18,0,2,20
佛罗伦萨,盟友：信仰购买伟人后下一次购买价格上涨的幅度降低50%，每拥有一个杰作上涨幅度额外降低1%，上限-90%，工业时代后允许盟友使用信仰购买所有伟人。朋友：信仰购买伟人后下一次购买价格上涨的幅度降低20%,2,8,8,2,20
喀布尔,盟友：盟友的城市发出的陆地商路金钱+50%，若坐落于丘陵则再+50%；盟友每有一条通往其他文明的陆上国际商路，全国文化和信仰+1%（随时代提高）。朋友：朋友的城市发出的陆地商路金钱+20%，若坐落于丘陵则再+20%,2,8,2,8,20
基辅,盟友效果：盟友每个完成的国家奇观提高全国2%伟人点数积累效果；盟友每与一个文明宣布友好，在世界议会获得1选票；盟友每张世界议会选票+1%全国文化。朋友效果：朋友每个完成的国家奇观提高全国1%伟人点数积累效果；,0,8,8,4,20
吉隆坡,盟友：吉隆坡的盟友的傀儡城市将不再提高科研阈值；盟友每有5个傀儡城市的人口，全国文化+2%，魅力+1%。朋友：吉隆坡的朋友的傀儡城市只提高一半的科研阈值,8,2,8,2,20
克孜勒,盟友：盟友每有1商路上限，陆地商路距离+10%；盟友的商路若通往不接壤的国家，金钱收益+100%；盟友的城市如果没有发出或接收国际商路，该城市文化和信仰+20%。朋友：朋友每有1商路上限，陆地商路距离+4%,8,4,0,8,20
米兰,盟友：盟友每有2点来自奢侈品的快乐，全国魅力和金钱+1%；盟友的单位对抗没有膛线科技的敌人时，受到伤害-25%；盟友的工坊将额外为城市提供15%金钱加成。朋友：朋友每有4点来自奢侈品的快乐，全国魅力和金钱+1%,6,6,0,8,20
摩纳哥,盟友：盟友城市100%的魅力将转化为城市的金钱产出；盟友每回合对摩纳哥的首次金钱馈赠视为下注——45% 无收益、35% 全额返还、15% 双倍、4% 三倍返还、1%十倍返还；盟友黄金时代内来自建筑的维护费-50%。朋友：朋友城市40%的魅力将转化为城市的金钱产出,0,8,6,6,20
布拉格,盟友：盟友的城墙、城堡、兵工厂、军事基地都将为城市提供10%文化加成；盟友的城市有己方间谍驻守时，该城市 +20% 科研；盟友每击杀一个他国间谍，自身获得一个间谍。朋友：朋友的城墙、城堡将为城市提供10%文化加成,8,2,6,4,20
埃里温,盟友：盟友的信仰购买的宗教建筑将为城市提供15%文化信仰加成；盟友每处有市民工作的圣地+3全局快乐，还将提高临近改良1文化；盟友每诞生过一位大先知，全国信仰+5%。朋友：朋友的信仰购买的宗教建筑将为城市提供5%文化信仰加成,0,10,8,2,20
比布鲁斯,盟友：盟友的图书馆、学院、大学、公立学校、研究实验室将提高城市8%科研；盟友的城市如果有通往比布鲁斯的商路，该城市10%的金钱将转化为科研；盟友城市每个有人工作的伐木场提高该城市3%金钱产出。朋友：朋友的图书馆、学院将提高城市8%科研,0,3,15,2,20
开普敦,盟友：盟友的城市如果有通往开普敦的商路，该城市20%的金钱将转化为食物；盟友的灯塔、港口、海运码头、国际自由港将提高城市10%金钱，5%产能。朋友：盟友的城市如果有通往开普敦的商路，该城市8%的金钱将转化为食物,5,5,5,5,20
